PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate,MeanPerNight
43006,Yes,5,77,Apartment,3,16/01/2019,164.97
43004,Yes,4,50,Apartment,2,20/12/2018,186.03
43003,Yes,4,50,Apartment,2,20/12/2018,183.78
42997,Yes,4,45,Apartment,2,24/10/2018,128.44
42998,Yes,4,45,Apartment,2,24/10/2018,121.56
42996,Yes,4,50,Apartment,2,09/08/2018,177.12
43406,Yes,4,50,Apartment,2,29/04/2023,270.76
42990,Yes,4,40,Apartment,2,26/05/2018,161.01
42962,Yes,6,81,Apartment,3,21/04/2018,281.11
42954,Yes,3,80,Apartment,2,02/05/2018,159.55
43507,Yes,6,100,Apartment,3,30/03/2024,278.77
42684,Yes,3,70,Apartment,1,07/03/2017,199.05
42674,Yes,2,40,Apartment,1,25/02/2017,166.25
42652,Yes,6,70,Apartment,3,27/02/2017,207.56
42608,Yes,4,60,Apartment,2,16/11/2016,159.02
42607,Yes,4,55,Apartment,1,18/11/2016,164.49
42673,Yes,6,70,Apartment,4,01/03/2017,194.25
42605,Yes,6,70,Apartment,4,26/02/2017,201.38
42807,Yes,5,64,Apartment,4,27/06/2017,186.12
42888,Yes,5,64,Apartment,3,24/02/2018,181.0
43408,Yes,5,64,Apartment,4,07/06/2023,253.42
42994,Yes,5,64,Apartment,4,03/07/2018,188.7
21699,Yes,4,69,Apartment,2,25/05/2016,144.65
14947,Yes,4,45,Apartment,1,06/05/2016,131.28
12688,Yes,6,70,Apartment,2,05/05/2016,153.52
9973,Yes,6,60,Apartment,2,14/02/2016,135.76
9971,Yes,4,70,Apartment,2,23/02/2016,99.56
6286,Yes,4,70,Apartment,2,29/05/2015,118.59
5934,Yes,4,40,Apartment,1,01/03/2015,157.17
5933,Yes,4,40,Apartment,1,28/02/2015,162.56
5931,Yes,4,40,Apartment,1,28/02/2015,160.54
5930,Yes,4,40,Apartment,1,27/02/2015,157.33
42852,Yes,7,100,Apartment,4,09/11/2017,237.41
4952,Yes,6,89,Apartment,3,03/07/2014,237.75
4789,Yes,4,45,Apartment,1,01/05/2014,135.14
4785,Yes,4,45,Apartment,1,25/05/2014,142.44
4790,Yes,4,45,Apartment,1,01/05/2014,149.17
4788,Yes,4,45,Apartment,1,10/05/2014,125.8
4787,Yes,6,45,Apartment,2,01/05/2014,191.48
4786,Yes,6,45,Apartment,2,01/05/2014,169.42
3963,Yes,4,50,Apartment,1,13/06/2013,157.55
4928,Yes,3,80,Apartment,2,11/06/2014,151.14
4259,Yes,6,80,Apartment,3,21/10/2013,171.39
2883,Yes,8,110,Apartment,3,28/12/2011,220.82
4138,Yes,5,60,Apartment,2,07/08/2013,151.68
4710,Yes,6,75,Apartment,3,15/04/2014,188.95
43493,Yes,5,50,Apartment,2,23/02/2024,212.58
43163,Yes,8,96,Apartment,3,07/09/2020,236.24
43016,Yes,6,122,Apartment,3,25/02/2019,187.9
43495,Yes,7,67,Apartment,4,07/06/2024,285.1
43517,Yes,5,64,Apartment,1,24/05/2024,78.03
43026,Yes,6,110,Apartment,4,27/05/2019,214.59
43539,Yes,5,70,Apartment,2,20/03/2024,277.46
42996,Yes,5,50,Apartment,2,09/08/2018,177.12
43528,Yes,3,70,Apartment,1,26/03/2024,210.5
43621,Yes,6,64,Apartment,4,20/09/2024,234.59
43221,Yes,8,194,Apartment,3,01/06/2021,219.39
43303,Yes,3,47,Apartment,1,16/05/2022,190.37
43138,Yes,8,111,Apartment,4,01/09/2020,218.13
43363,Yes,5,60,Apartment,2,13/11/2022,189.14
43164,Yes,7,108,Apartment,3,11/09/2020,218.82
43316,Yes,3,100,Apartment,1,01/07/2022,99.38
43074,Yes,12,120,Apartment,4,20/04/2020,282.86
43542,Yes,7,70,Apartment,3,25/03/2024,348.03
43428,Yes,5,65,Apartment,2,28/05/2023,183.58
43445,Yes,5,57,Apartment,1,03/11/2023,234.17
43279,Yes,5,55,Apartment,2,05/03/2022,177.16
43093,Yes,7,68,Apartment,3,01/12/2020,240.5
43069,Yes,10,110,Apartment,3,01/02/2020,252.89
9973,Yes,7,60,Apartment,2,14/02/2016,135.76
43056,Yes,5,50,Apartment,1,25/10/2019,149.41
21699,Yes,5,69,Apartment,2,25/05/2016,144.65
43030,Yes,9,80,Apartment,3,31/05/2019,241.43
